,NCustomers
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,2
11,2
12,3
13,4
14,5
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,7
23,8
24,9
25,9
26,12
27,12
28,12
29,12
30,13
31,15
32,15
33,15
34,17
35,17
36,17
37,19
38,20
39,21
40,22
41,22
42,22
43,23
44,24
45,25
46,26
47,26
48,27
49,28
50,28
51,28
52,28
53,29
54,30
55,31
56,32
57,33
58,33
59,33
60,33
61,33
62,33
63,33
64,34
65,34
66,34
67,34
68,34
69,34
70,34
71,34
72,34
73,34
74,34
75,34
76,35
77,35
78,35
79,35
80,35
81,35
82,35
83,36
84,38
85,39
86,40
87,42
88,42
89,42
90,42
91,43
92,44
93,44
94,44
95,44
96,44
97,46
98,47
99,47
