,TotalNeeded
532,53
533,52
534,50
535,54
536,53
537,53
538,57
539,56
540,56
541,56
542,55
543,54
544,54
545,54
546,53
547,51
548,49
549,49
550,47
551,46
552,46
553,46
554,46
555,45
556,43
557,43
558,49
559,49
560,49
561,48
562,46
563,46
564,46
565,46
566,44
567,44
568,44
569,43
570,45
571,44
572,44
573,44
574,43
575,48
576,47
577,47
578,46
579,46
580,50
581,49
582,49
583,48
584,48
585,48
586,47
587,46
588,44
589,44
590,44
591,43
592,43
593,43
594,57
595,56
596,55
597,55
598,60
599,59
600,57
601,55
602,54
603,53
604,52
605,52
606,55
607,53
608,53
609,53
610,53
611,53
612,52
613,52
614,60
615,59
616,59
617,58
618,56
619,55
620,52
621,51
622,55
623,55
624,54
625,53
626,51
627,51
628,50
629,50
630,50
631,50
632,49
633,48
634,47
635,46
636,46
637,44
638,43
639,41
640,40
641,39
642,38
643,38
644,38
645,37
646,36
647,36
648,36
649,36
650,38
651,38
652,38
653,38
654,36
655,34
656,34
657,33
658,32
659,32
660,32
661,32
662,31
663,31
664,31
665,31
666,31
667,31
668,30
669,32
670,32
671,32
672,32
673,30
674,30
675,30
676,30
677,29
678,27
679,26
680,26
681,26
682,26
683,29
684,29
685,34
686,34
687,32
688,36
689,35
690,34
691,34
692,33
693,33
694,33
695,33
696,32
697,32
698,31
699,30
700,30
701,30
702,30
703,30
704,29
705,28
706,30
707,29
708,29
709,28
710,27
711,27
712,27
713,25
714,24
715,31
716,40
717,40
718,45
719,45
720,44
721,46
722,44
723,43
724,43
725,43
726,43
727,41
728,40
729,38
730,38
731,38
732,38
733,37
734,37
735,36
736,36
737,36
738,36
739,35
740,34
741,34
742,33
743,33
744,33
745,32
746,31
747,31
748,31
749,31
750,28
751,28
752,28
753,28
754,28
755,34
756,34
757,34
758,32
759,32
760,31
761,31
762,30
763,30
764,29
765,32
766,32
767,32
768,31
769,31
770,30
771,30
772,29
773,29
774,36
775,36
776,45
777,45
778,45
779,54
780,54
781,53
782,52
783,63
784,63
785,62
786,62
787,61
788,60
789,60
790,59
791,59
792,59
793,56
794,56
795,56
796,56
797,56
798,54
799,54
800,51
801,51
802,58
803,57
804,56
805,55
806,54
807,53
808,53
809,53
810,51
811,55
812,53
813,53
814,52
815,52
816,52
817,51
818,50
819,49
820,49
821,49
822,49
823,49
824,48
825,47
826,46
827,47
828,46
829,45
830,44
831,46
832,53
833,53
834,54
835,53
836,53
837,62
838,62
839,67
840,66
841,73
842,73
843,72
844,69
845,66
846,74
847,74
848,73
849,70
850,70
851,69
852,68
853,68
854,67
855,64
856,63
857,62
858,62
859,60
860,59
861,59
862,61
863,60
864,58
865,57
866,56
867,56
868,55
869,55
870,55
871,55
872,55
873,53
874,53
875,51
876,50
877,50
878,49
879,47
880,45
881,44
882,44
883,44
884,43
885,41
886,41
887,40
888,39
889,39
890,38
891,38
892,36
893,36
894,36
895,36
896,34
897,34
898,33
899,32
900,32
901,32
902,32
903,32
904,31
905,30
906,30
907,29
908,28
909,27
910,27
911,27
912,27
913,27
914,27
915,25
916,24
917,24
918,24
919,24
920,24
921,24
922,24
923,24
924,23
925,23
926,23
927,23
928,23
929,21
930,21
931,20
932,20
933,20
934,19
935,19
936,19
937,17
938,17
939,17
940,17
941,17
942,15
943,13
944,13
945,12
946,12
947,12
948,11
949,11
950,11
951,11
952,11
953,11
954,11
955,11
956,14
957,14
958,14
959,14
960,13
961,13
962,13
963,13
964,13
965,13
966,13
967,14
968,14
969,14
970,23
971,23
972,23
973,22
974,22
975,21
976,21
977,21
978,21
979,20
980,20
981,20
982,20
983,20
984,20
985,20
986,20
987,28
988,27
989,27
990,26
991,25
992,32
993,32
994,32
995,32
996,32
997,31
998,31
999,30
1000,27
1001,27
1002,27
1003,27
1004,27
1005,27
1006,27
1007,27
1008,25
1009,25
1010,25
1011,28
1012,28
1013,28
1014,28
1015,28
1016,28
1017,28
1018,28
1019,28
1020,28
1021,26
1022,26
1023,26
1024,26
1025,26
1026,32
1027,32
1028,32
1029,32
1030,31
1031,31
1032,31
1033,31
1034,31
1035,30
1036,28
1037,28
1038,28
1039,27
1040,27
1041,27
1042,27
1043,26
1044,26
1045,26
1046,25
1047,25
1048,24
1049,24
1050,23
1051,22
1052,22
1053,22
1054,22
1055,22
1056,22
1057,21
1058,20
1059,20
1060,19
1061,19
1062,19
1063,18
1064,16
1065,16
1066,16
1067,15
1068,15
1069,15
1070,14
1071,14
1072,14
1073,13
1074,13
1075,13
1076,13
1077,12
1078,12
1079,12
