,TotalNeeded
532,26
533,26
534,26
535,26
536,26
537,24
538,24
539,23
540,20
541,20
542,25
543,25
544,23
545,23
546,30
547,30
548,29
549,28
550,28
551,28
552,28
553,28
554,27
555,27
556,27
557,27
558,26
559,26
560,28
561,28
562,27
563,27
564,26
565,26
566,26
567,26
568,25
569,33
570,33
571,33
572,33
573,37
574,37
575,37
576,35
577,35
578,35
579,35
580,33
581,33
582,33
583,33
584,33
585,33
586,32
587,32
588,42
589,42
590,42
591,42
592,42
593,42
594,45
595,43
596,42
597,41
598,41
599,40
600,40
601,40
602,39
603,38
604,38
605,41
606,40
607,38
608,36
609,36
610,36
611,35
612,43
613,42
614,40
615,40
616,40
617,40
618,44
619,42
620,44
621,44
622,43
623,43
624,43
625,42
626,41
627,41
628,41
629,40
630,41
631,39
632,39
633,39
634,39
635,37
636,35
637,35
638,34
639,42
640,41
641,46
642,46
643,45
644,44
645,44
646,43
647,43
648,45
649,45
650,43
651,42
652,42
653,41
654,40
655,40
656,39
657,38
658,38
659,37
660,34
661,34
662,38
663,43
664,50
665,49
666,47
667,46
668,45
669,45
670,54
671,54
672,53
673,55
674,53
675,53
676,52
677,50
678,48
679,48
680,53
681,52
682,52
683,51
684,51
685,50
686,49
687,49
688,48
689,46
690,46
691,46
692,46
693,46
694,45
695,44
696,51
697,57
698,56
699,55
700,56
701,56
702,56
703,56
704,56
705,55
706,57
707,55
708,53
709,53
710,60
711,57
712,56
713,55
714,55
715,55
716,55
717,53
718,53
719,53
720,52
721,49
722,55
723,56
724,55
725,55
726,55
727,55
728,52
729,59
730,58
731,56
732,56
733,61
734,59
735,59
736,59
737,57
738,56
739,56
740,54
741,54
742,54
743,53
744,52
745,49
746,49
747,49
748,46
749,46
750,46
751,51
752,51
753,51
754,49
755,49
756,48
757,47
758,46
759,44
760,43
761,43
762,40
763,40
764,42
765,49
766,49
767,48
768,47
769,47
770,47
771,46
772,46
773,46
774,54
775,52
776,52
777,52
778,51
779,51
780,50
781,54
782,54
783,53
784,52
785,50
786,50
787,49
788,49
789,48
790,47
791,46
792,46
793,45
794,42
795,42
796,42
797,42
798,42
799,41
800,49
801,48
802,48
803,56
804,57
805,57
806,56
807,56
808,55
809,55
810,55
811,54
812,53
813,53
814,51
815,50
816,50
817,50
818,48
819,46
820,45
821,51
822,51
823,50
824,49
825,49
826,48
827,47
828,46
829,46
830,46
831,46
832,46
833,46
834,44
835,44
836,44
837,41
838,40
839,40
840,40
841,40
842,39
843,38
844,37
845,37
846,36
847,36
848,36
849,36
850,45
851,44
852,42
853,42
854,51
855,56
856,56
857,56
858,56
859,56
860,55
861,54
862,53
863,53
864,52
865,52
866,51
867,51
868,53
869,51
870,53
871,52
872,51
873,51
874,50
875,48
876,47
877,47
878,46
879,45
880,43
881,42
882,42
883,42
884,41
885,41
886,39
887,39
888,39
889,37
890,36
891,35
892,34
893,32
894,31
895,31
896,31
897,29
898,29
899,28
900,28
901,27
902,26
903,26
904,26
905,26
906,26
907,26
908,25
909,25
910,25
911,25
912,23
913,23
914,23
915,22
916,22
917,22
918,21
919,21
920,21
921,20
922,19
923,19
924,18
925,18
926,18
927,17
928,17
929,16
930,14
931,13
932,12
933,12
934,12
935,12
936,12
937,11
938,11
939,9
940,8
941,8
942,8
943,7
944,7
945,6
946,6
947,5
948,5
949,5
950,5
951,5
952,5
953,5
954,5
955,5
956,5
957,5
958,5
959,4
960,3
961,3
962,3
963,8
964,8
965,8
966,8
967,7
968,7
969,7
970,7
971,7
972,6
973,6
974,6
975,6
976,6
977,6
978,6
979,9
980,8
981,8
982,8
983,7
984,7
985,7
986,7
987,7
988,7
989,6
990,15
991,15
992,15
993,15
994,16
995,15
996,15
997,15
998,15
999,15
1000,15
1001,15
1002,15
1003,14
1004,14
1005,14
1006,14
1007,14
1008,14
1009,14
1010,14
1011,13
1012,13
1013,12
1014,12
1015,11
1016,11
1017,11
1018,10
1019,10
1020,10
1021,10
1022,9
1023,9
1024,9
1025,9
1026,9
1027,9
1028,9
1029,9
1030,9
1031,9
1032,9
1033,9
1034,9
1035,9
1036,9
1037,8
1038,7
1039,7
1040,7
1041,7
1042,7
1043,7
1044,6
1045,6
1046,6
1047,6
1048,6
1049,6
1050,6
1051,6
1052,6
1053,5
1054,5
1055,5
1056,5
1057,5
1058,5
1059,5
1060,5
1061,5
1062,5
1063,5
1064,4
1065,4
1066,4
1067,4
1068,4
1069,4
1070,4
1071,4
1072,4
1073,4
1074,4
1075,4
1076,4
1077,3
1078,3
1079,3
