,TotalNeeded
532,36
533,36
534,35
535,35
536,35
537,42
538,41
539,40
540,40
541,40
542,39
543,37
544,36
545,35
546,35
547,35
548,37
549,36
550,39
551,39
552,39
553,39
554,38
555,38
556,37
557,37
558,40
559,39
560,38
561,38
562,38
563,37
564,37
565,37
566,40
567,40
568,40
569,47
570,52
571,52
572,52
573,49
574,54
575,53
576,51
577,49
578,49
579,48
580,48
581,48
582,47
583,54
584,54
585,53
586,53
587,53
588,52
589,51
590,51
591,50
592,49
593,49
594,48
595,48
596,47
597,46
598,46
599,46
600,46
601,46
602,45
603,45
604,47
605,53
606,53
607,53
608,52
609,51
610,49
611,48
612,48
613,46
614,46
615,47
616,46
617,45
618,44
619,42
620,42
621,42
622,41
623,41
624,40
625,40
626,39
627,39
628,39
629,39
630,39
631,39
632,39
633,38
634,37
635,37
636,36
637,35
638,33
639,33
640,33
641,32
642,32
643,46
644,51
645,51
646,51
647,55
648,54
649,54
650,50
651,50
652,57
653,57
654,56
655,53
656,53
657,54
658,53
659,53
660,53
661,52
662,52
663,51
664,51
665,51
666,49
667,46
668,46
669,44
670,43
671,47
672,47
673,55
674,55
675,55
676,55
677,54
678,54
679,52
680,52
681,50
682,50
683,57
684,55
685,55
686,54
687,54
688,52
689,51
690,51
691,51
692,50
693,49
694,54
695,53
696,52
697,52
698,52
699,52
700,58
701,58
702,57
703,56
704,55
705,53
706,52
707,52
708,51
709,51
710,51
711,49
712,49
713,49
714,46
715,46
716,45
717,43
718,42
719,41
720,41
721,40
722,40
723,38
724,45
725,45
726,42
727,42
728,41
729,41
730,40
731,39
732,39
733,39
734,39
735,39
736,37
737,36
738,36
739,34
740,34
741,34
742,43
743,41
744,41
745,41
746,47
747,47
748,45
749,45
750,45
751,44
752,43
753,43
754,43
755,42
756,41
757,41
758,40
759,39
760,39
761,38
762,37
763,36
764,35
765,35
766,35
767,35
768,35
769,34
770,34
771,33
772,32
773,31
774,31
775,31
776,31
777,31
778,31
779,30
780,30
781,30
782,30
783,30
784,30
785,30
786,29
787,29
788,29
789,28
790,26
791,26
792,26
793,26
794,26
795,25
796,24
797,30
798,30
799,29
800,29
801,28
802,28
803,29
804,30
805,30
806,30
807,29
808,29
809,28
810,27
811,27
812,27
813,28
814,28
815,28
816,28
817,28
818,28
819,33
820,33
821,33
822,33
823,34
824,36
825,35
826,33
827,33
828,33
829,32
830,32
831,32
832,32
833,31
834,30
835,30
836,30
837,29
838,29
839,28
840,25
841,25
842,24
843,23
844,23
845,21
846,21
847,21
848,21
849,21
850,20
851,20
852,20
853,25
854,24
855,24
856,24
857,33
858,33
859,33
860,32
861,32
862,32
863,31
864,37
865,37
866,36
867,36
868,36
869,35
870,34
871,34
872,34
873,32
874,32
875,32
876,32
877,30
878,30
879,30
880,30
881,29
882,36
883,35
884,42
885,42
886,42
887,42
888,41
889,41
890,40
891,45
892,45
893,45
894,44
895,43
896,43
897,42
898,42
899,41
900,41
901,41
902,41
903,42
904,41
905,40
906,40
907,40
908,40
909,40
910,40
911,40
912,40
913,38
914,38
915,37
916,37
917,37
918,37
919,37
920,36
921,36
922,35
923,34
924,34
925,33
926,33
927,33
928,33
929,33
930,32
931,31
932,29
933,29
934,29
935,29
936,29
937,29
938,29
939,29
940,27
941,26
942,25
943,25
944,22
945,21
946,21
947,21
948,21
949,21
950,21
951,20
952,20
953,20
954,19
955,18
956,18
957,17
958,17
959,16
960,15
961,15
962,15
963,15
964,15
965,15
966,15
967,15
968,16
969,16
970,16
971,16
972,16
973,16
974,15
975,14
976,13
977,13
978,13
979,13
980,13
981,13
982,12
983,12
984,12
985,11
986,11
987,11
988,11
989,11
990,11
991,11
992,11
993,15
994,14
995,14
996,14
997,14
998,14
999,14
1000,14
1001,14
1002,14
1003,14
1004,12
1005,12
1006,12
1007,12
1008,12
1009,12
1010,12
1011,12
1012,12
1013,12
1014,12
1015,11
1016,11
1017,11
1018,11
1019,11
1020,11
1021,10
1022,10
1023,10
1024,10
1025,10
1026,10
1027,10
1028,9
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,8
1036,8
1037,8
1038,8
1039,8
1040,8
1041,8
1042,17
1043,17
1044,17
1045,17
1046,16
1047,16
1048,15
1049,15
1050,15
1051,15
1052,15
1053,15
1054,15
1055,15
1056,15
1057,15
1058,15
1059,15
1060,15
1061,14
1062,14
1063,14
1064,14
1065,14
1066,13
1067,13
1068,12
1069,12
1070,12
1071,12
1072,12
1073,12
1074,11
1075,10
1076,10
1077,10
1078,10
1079,10
