,TotalNeeded
532,31
533,31
534,31
535,31
536,29
537,28
538,28
539,28
540,26
541,26
542,26
543,26
544,26
545,25
546,25
547,22
548,22
549,25
550,23
551,22
552,22
553,27
554,26
555,26
556,26
557,25
558,25
559,24
560,24
561,24
562,22
563,21
564,20
565,20
566,20
567,19
568,18
569,18
570,18
571,18
572,18
573,16
574,16
575,16
576,17
577,17
578,17
579,17
580,16
581,14
582,13
583,13
584,12
585,19
586,19
587,19
588,19
589,19
590,27
591,26
592,26
593,26
594,26
595,26
596,32
597,32
598,32
599,32
600,30
601,30
602,30
603,30
604,30
605,30
606,30
607,29
608,28
609,28
610,28
611,28
612,28
613,28
614,28
615,28
616,27
617,27
618,27
619,26
620,26
621,33
622,33
623,32
624,31
625,31
626,31
627,38
628,38
629,46
630,45
631,44
632,44
633,43
634,49
635,48
636,48
637,51
638,48
639,48
640,46
641,46
642,45
643,43
644,42
645,42
646,41
647,41
648,41
649,41
650,47
651,46
652,51
653,50
654,50
655,49
656,48
657,47
658,46
659,46
660,49
661,48
662,46
663,46
664,45
665,44
666,43
667,42
668,41
669,41
670,40
671,47
672,47
673,46
674,42
675,50
676,49
677,49
678,49
679,48
680,48
681,48
682,48
683,48
684,46
685,46
686,45
687,44
688,44
689,44
690,44
691,42
692,40
693,38
694,41
695,41
696,41
697,41
698,44
699,42
700,41
701,40
702,40
703,39
704,43
705,42
706,41
707,41
708,40
709,39
710,38
711,37
712,36
713,36
714,35
715,34
716,33
717,29
718,27
719,27
720,27
721,27
722,31
723,31
724,31
725,30
726,29
727,31
728,31
729,31
730,30
731,29
732,29
733,28
734,32
735,32
736,32
737,31
738,31
739,30
740,30
741,30
742,29
743,31
744,32
745,32
746,32
747,32
748,32
749,32
750,29
751,28
752,27
753,25
754,25
755,25
756,25
757,24
758,22
759,21
760,21
761,21
762,21
763,21
764,20
765,19
766,18
767,17
768,16
769,21
770,21
771,21
772,20
773,20
774,21
775,20
776,19
777,19
778,19
779,19
780,18
781,18
782,18
783,18
784,15
785,14
786,13
787,13
788,12
789,12
790,12
791,12
792,12
793,12
794,21
795,20
796,20
797,28
798,27
799,27
800,26
801,25
802,23
803,23
804,23
805,29
806,36
807,36
808,35
809,35
810,35
811,35
812,35
813,34
814,33
815,33
816,32
817,32
818,31
819,30
820,30
821,39
822,38
823,37
824,41
825,41
826,41
827,38
828,44
829,44
830,43
831,43
832,42
833,42
834,51
835,50
836,50
837,50
838,49
839,48
840,48
841,47
842,47
843,47
844,46
845,45
846,45
847,43
848,42
849,42
850,41
851,41
852,41
853,47
854,47
855,46
856,45
857,44
858,49
859,49
860,49
861,49
862,49
863,48
864,47
865,47
866,47
867,47
868,47
869,46
870,46
871,45
872,45
873,45
874,42
875,48
876,48
877,47
878,47
879,46
880,46
881,45
882,44
883,43
884,43
885,42
886,41
887,41
888,40
889,40
890,38
891,36
892,36
893,35
894,34
895,32
896,31
897,31
898,31
899,31
900,30
901,29
902,28
903,28
904,35
905,35
906,38
907,38
908,38
909,38
910,40
911,39
912,38
913,35
914,34
915,34
916,33
917,33
918,31
919,31
920,29
921,29
922,29
923,29
924,29
925,27
926,35
927,32
928,31
929,30
930,30
931,29
932,29
933,29
934,29
935,27
936,27
937,27
938,27
939,26
940,24
941,24
942,24
943,24
944,24
945,24
946,24
947,22
948,22
949,20
950,20
951,26
952,26
953,26
954,29
955,28
956,32
957,32
958,31
959,31
960,29
961,29
962,29
963,29
964,29
965,29
966,28
967,28
968,28
969,28
970,27
971,27
972,26
973,28
974,28
975,28
976,26
977,26
978,25
979,24
980,24
981,22
982,22
983,21
984,19
985,18
986,18
987,18
988,17
989,16
990,16
991,15
992,22
993,21
994,21
995,21
996,20
997,20
998,19
999,19
1000,21
1001,21
1002,20
1003,20
1004,19
1005,19
1006,18
1007,18
1008,18
1009,17
1010,17
1011,17
1012,17
1013,16
1014,16
1015,15
1016,15
1017,15
1018,15
1019,24
1020,24
1021,32
1022,32
1023,32
1024,32
1025,31
1026,31
1027,38
1028,36
1029,36
1030,36
1031,35
1032,34
1033,34
1034,34
1035,34
1036,32
1037,32
1038,31
1039,30
1040,30
1041,30
1042,30
1043,30
1044,30
1045,29
1046,29
1047,28
1048,28
1049,28
1050,28
1051,28
1052,28
1053,28
1054,27
1055,27
1056,27
1057,27
1058,26
1059,25
1060,25
1061,25
1062,23
1063,23
1064,22
1065,22
1066,20
1067,20
1068,20
1069,19
1070,19
1071,18
1072,17
1073,15
1074,15
1075,15
1076,15
1077,15
1078,14
1079,14
